Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Marita,Malm,Industritorget 8,Halmstad,97420,Sverige,SE,19460428-9899,+46,08-622 59 16,1946-04-28,True
Maria,Gunnarsson,Aspstigen 948,Borlänge,43357,Sverige,SE,19800708-6182,+46,+46 (0)73 89 58 36,1980-07-08,True
Märta,Hellberg,Storvägen 817,Motala,49530,Sverige,SE,19680925-7745,+46,08-026 705 66,1968-09-25,True
Margaretha,Engström,Industritorget 39,Trelleborg,56447,Sverige,SE,19560212-4270,+46,+46 (0)67 84 89 24,1956-02-12,True
Marcus,Karlsson,Parkgränd 3,Karlskrona,62635,Sverige,SE,19590315-5998,+46,+46 (0)95 67 19 06,1959-03-15,True
Kåre,Fredriksen,Haugengen 93,Bjørgmark,7791,Norge,NO,19710629-0438,+47,+4752257409,1971-06-29,True
Regina,Bradley,Cox Cove 0027,Billyport,21609,Danmark,DK,20000622-8253,+45,776-666-5263x6652,2000-06-22,True
Pontus,Karlsson,Storvägen 6,Jönköping,12472,Sverige,SE,19560311-9718,+46,+46 (0)844 142 08,1956-03-11,True
Sven,Svensson,Villavägen 99,Skövde,73735,Sverige,SE,19911210-0010,+46,0198-356 99,1991-12-10,True
Emil,Axelsson,Björkstigen 977,Trollhättan,84497,Sverige,SE,19591012-6681,+46,08-337 73 94,1959-10-12,True
Sondre,Antonsen,Nilsenåsen 3E,Lie,8998,Norge,NO,19651225-1638,+47,945 70 711,1965-12-25,True
Gunborg,Nilsson,Kyrkgatan 530,Eskilstuna,42421,Sverige,SE,19671228-4183,+46,0512-955 39,1967-12-28,True
Berit,Johansson,Asptorget 3,Stockholm,74205,Sverige,SE,19900608-1448,+46,+46 (0)8 527 129 89,1990-06-08,True
Eivind,Abrahamsen,Hauglandeggen 9C,Eriksen,9016,Norge,NO,19410714-4390,+47,446 74 003,1941-07-14,True
Elisabet,Holmgren,Parkgatan 43,Sundsvall,34675,Sverige,SE,19990228-5793,+46,0292-28 74 97,1999-02-28,True
Tobias,Ellingsen,Olsenlyngen 2,Sivertsen,2173,Norge,NO,19480929-3670,+47,05 74 59 99,1948-09-29,True
Sara,Nilsen,Aunehøgda 4,Sørensen,9552,Norge,NO,19440306-3901,+47,93389999,1944-03-06,True
Antti,Kiuru,Edelfeltintie 651,Kökar,25945,Finland,FI,19650920-802T,+358,(+358) 110249960,1965-09-20,True
Per,Lindberg,Fabriksstigen 8,Linköping,99277,Sverige,SE,19961125-1960,+46,08-976 317 48,1996-11-25,True
Anna,Andersson,Aspgatan 997,Sandviken,45924,Sverige,SE,19590711-9930,+46,08-647 23 03,1959-07-11,True
Hans,Olsen,Abrahamsenlyngen 5,Jenssen,0911,Norge,NO,19600606-0011,+47,95559063,1960-06-06,True
Linnéa,Johansson,Björkgränd 53,Lidköping,38160,Sverige,SE,19921030-3359,+46,0940-670 48,1992-10-30,True
Martin,Strömberg,Idrottsstigen 382,Halmstad,67479,Sverige,SE,20000705-1128,+46,0550-131 96,2000-07-05,True
Angelica,Gordon,Lauren Mall 3554,Lopezburgh,97467,Danmark,DK,19910515-3074,+45,+1-903-902-8545x4739,1991-05-15,True
Sebastian,Andersson,Ringtorget 190,Örnsköldsvik,15267,Sverige,SE,19970311-8519,+46,08-138 308 65,1997-03-11,True
Ture,Petersson,Järnvägsstigen 335,Nyköping,49379,Sverige,SE,19670825-8393,+46,08-44 29 86,1967-08-25,True
Erika,Persson,Furugatan 779,Trollhättan,39266,Sverige,SE,19420415-5494,+46,08-49 90 79,1942-04-15,True
Ivar,Karlsson,Gengränd 8,Uppsala,14475,Sverige,SE,19670209-3232,+46,08-166 36 04,1967-02-09,True
Tammie,Ali,Tran Fork 823,Karentown,19771,Danmark,DK,19541001-0632,+45,+1-490-643-9026,1954-10-01,True
Emma,Andersson,Fabriksvägen 54,Karlskoga,47580,Sverige,SE,19790417-6964,+46,032-824 33 27,1979-04-17,True
Sixten,Persson,Kvarngatan 860,Västerås,97364,Sverige,SE,19471225-6046,+46,+46 (0)21 74 09 67,1947-12-25,True
Hilde,Jacobsen,Paulsenstykket 5,Myhre,1487,Norge,NO,19760627-2731,+47,+47 95 31 49 01,1976-06-27,True
Jonny,Johansson,Parktorget 57,Skövde,25212,Sverige,SE,19540303-3416,+46,+46 (0)52 45 03 60,1954-03-03,True
Gunnar,Lundin,Skolgatan 96,Kristianstad,48606,Sverige,SE,20000727-4109,+46,+46 (0)8 181 268 97,2000-07-27,True
Christy,Allison,Steven Extensions 336,South Kevinborough,32947,Danmark,DK,19560725-2728,+45,450.431.5977x272,1956-07-25,True
Ashley,Hudson,John Walks 871,North Gilbert,16026,Danmark,DK,19431123-9501,+45,+1-970-300-0119x9369,1943-11-23,True
Linnea,Karlsson,Genstigen 7,Luleå,60583,Sverige,SE,19930213-6513,+46,011-733 35 80,1993-02-13,True
Jan,Bengtsson,Järnvägsgatan 627,Linköping,76092,Sverige,SE,19450329-4531,+46,08-59 11 22,1945-03-29,True
Linn,Andresen,Gunderseneggen 75,Andreassen,7162,Norge,NO,19911114-1476,+47,95027835,1991-11-14,True
Heidi,Strøm,Knutsenhaugen 4,Ingerstrøm,7575,Norge,NO,19481202-0309,+47,57260986,1948-12-02,True
Jennifer,Brooks,Cervantes Centers 292,Andersonview,37039,Danmark,DK,19940529-5565,+45,510-563-7571x5234,1994-05-29,True
Per,Henriksen,Vikeggen 85,Johansen,3544,Norge,NO,19650807-4212,+47,94838233,1965-08-07,True
Sarah,Hernandez,Kennedy Ramp 198,Jeffreyfurt,18695,Danmark,DK,19431028-5485,+45,4207893032,1943-10-28,True
Bethany,Cole,Rebecca Square 4225,Gonzalestown,31965,Danmark,DK,19520521-6125,+45,001-700-490-4570x962,1952-05-21,True
Mindy,West,Kimberly Rest 5760,North Mitchell,83156,Danmark,DK,19830612-2240,+45,001-267-979-2792,1983-06-12,True
Frida,Hermansson,Grangränd 6,Kristianstad,64285,Sverige,SE,19700430-1356,+46,0011-922 24,1970-04-30,True
Øystein,Tangen,Andresenskogen 8,Aasen,5546,Norge,NO,19721208-3258,+47,+47 25 72 66 72,1972-12-08,True
David,Eriksson,Idrottstorget 0,Linköping,82895,Sverige,SE,19770303-3779,+46,08-297 84 34,1977-03-03,True
Scott,Evans,Eric Spurs 077,North Shaneview,22066,Danmark,DK,19851011-5090,+45,+1-886-280-8209x39636,1985-10-11,True
Inge,Josefsson,Nygränd 345,Västerås,21185,Sverige,SE,19880208-1648,+46,094-905 70 71,1988-02-08,True
Olav,Pettersen,Arnesenkroken 7,Turidmark,7753,Norge,NO,19820623-6349,+47,41521400,1982-06-23,True
Elise,Eliassen,Solheimskrenten 30,Marenhavn,1284,Norge,NO,19500912-8828,+47,+47 07 65 07 36,1950-09-12,True
Nora,Eliassen,Dahlroa 2C,Andreassen,7842,Norge,NO,19640807-3643,+47,95395599,1964-08-07,True
Antero,Leinonen,Ilveskuja 8,Lieksa,69777,Finland,FI,19410612-4106,+358,015 592 1878,1941-06-12,True
Cecilie,Svendsen,Ruudlia 2,Christiannes,5227,Norge,NO,19750803-1881,+47,34148472,1975-08-03,True
Zachary,Murphy,Spencer Divide 299,Taraton,50786,Danmark,DK,19720624-4725,+45,+1-338-238-2070x248,1972-06-24,True
Klas,Björklund,Järnvägsvägen 032,Södertälje,32200,Sverige,SE,19930610-1844,+46,08-91 87 91,1993-06-10,True
Nathan,Mason,Cindy Heights 7550,Hullport,37421,Danmark,DK,19630929-7017,+45,628-615-1536x972,1963-09-29,True
Caroline,Malmberg,Idrottsvägen 06,Norrköping,81601,Sverige,SE,19450930-4979,+46,071-144 67 34,1945-09-30,True
Elise,Tveit,Aasenlunden 28,Evahamn,0478,Norge,NO,19561024-7436,47,42 99 13 04,1956-10-24,True
Sonja,Eriksson,Ringgränd 3,Kalmar,14729,Sverige,SE,19580331-2509,+46,08-689 33 23,1958-03-31,True
Sandra,Holm,Skolgatan 37,Malmö,27933,Sverige,SE,19520926-0551,+46,044-09 09 33,1952-09-26,True
Leif,Andersson,Nygränd 157,Trollhättan,24870,Sverige,SE,19801015-6602,+46,+46 (0)8 883 518 26,1980-10-15,True
Trine,Bøe,Abrahamsentunet 2,Amundsen,9653,Norge,NO,19870317-6132,+47,+4701489876,1987-03-17,True
Torbjørn,Kristoffersen,Tveitløkka 31C,Bakken,9756,Norge,NO,19790629-8238,+47,35 02 76 66,1979-06-29,True
Gunnar,Pålsson,Villagränd 736,Falun,78450,Sverige,SE,19500306-0553,+46,020-196 25 53,1950-03-06,True
Jonathan,Smith,Ryan Camp 90035,Port Haley,64108,Danmark,DK,19920502-4236,+45,5873877006,1992-05-02,True
Emanuel,Sjöberg,Kyrktorget 744,Karlskoga,63611,Sverige,SE,19880812-2022,+46,+46 (0)8 793 315 54,1988-08-12,True
Bjørg,Lien,Engenløkka 14,Mariusfjord,6519,Norge,NO,19451127-1958,+47,470 85 190,1945-11-27,True
Lise,Gundersen,Kristiansenalléen 97B,Stigsund,3325,Norge,NO,19791015-1485,+47,18619743,1979-10-15,True
Juho,Manninen,Adolf Lindforsin kuja 84,Muonio,45222,Finland,FI,19431112-343U,+358,019 466 1030,1943-11-12,True
Thea,Berge,Rønninghaugen 16,Aas,3370,Norge,NO,19821204-5044,+47,909 93 335,1982-12-04,True
Mark,Wilson,Melissa Run 100,Jocelynberg,37060,Danmark,DK,19740202-5349,+45,246.706.6125,1974-02-02,True
Lars,Blomqvist,Järnvägsvägen 70,Karlskoga,36154,Sverige,SE,19480116-8318,+46,08-791 56 40,1948-01-16,True
Hans,Axelsson,Parktorget 274,Ängelholm,95918,Sverige,SE,19870406-8373,+46,088-479 23 36,1987-04-06,True
Stian,Nilsen,Ødegårdbråten 78,Isaksen,9553,Norge,NO,19701020-7708,+47,+4726600814,1970-10-20,True
Victoria,Jones,Ricky Curve 53821,North Aliceburgh,30679,Danmark,DK,19960128-1704,+45,+1-472-320-6604,1996-01-28,True
Ingrid,Svensson,Granvägen 0,Göteborg,25207,Sverige,SE,19891019-9967,+46,+46 (0)13 51 34 90,1989-10-19,True
Sondre,Eriksen,Ellingsenkollen 32,Solheim,5460,Norge,NO,19780220-8471,+47,+47 73 25 75 43,1978-02-20,True
Gerd,Johannessen,Hansengropa 1,Jørgensen,8838,Norge,NO,19860916-8757,+47,83925341,1986-09-16,True
Paula,Evans,Baker Forest 9647,Elliottshire,02411,Danmark,DK,19830127-1024,+45,+1-265-434-9680x116,1983-01-27,True
Jørgen,Gundersen,Ruudløkka 14,Torbjørnfoss,1553,Norge,NO,19650615-7338,+47,453 02 147,1965-06-15,True
Charles,Obrien,Wright Brooks 3698,Williamburgh,21322,Danmark,DK,19690917-1386,+45,584.682.9753x59717,1969-09-17,True
Øystein,Fredriksen,Eriksenplassen 6E,Erikstad,5104,Norge,NO,19490803-3478,+47,452 08 500,1949-08-03,True
Else,Brekke,Sandviklia 8E,Einarvik,5593,Norge,NO,19471017-1297,+47,96853452,1947-10-17,True
Anita,Johannessen,Tveitrøa 07,Eiriksund,3245,Norge,NO,19600815-7058,+47,+47 77 17 61 17,1960-08-15,True
Kara,Jackson,Parrish Forks 327,Lake Jonathan,47261,Danmark,DK,19420628-3917,+45,+1-581-401-5728x3277,1942-06-28,True
John,Marsh,Sally Inlet 859,East Saramouth,09499,Danmark,DK,19920204-0334,+45,(904)542-4094,1992-02-04,True
Vegard,Dahl,Tangenstykket 5,Arnenes,7629,Norge,NO,19420812-4238,+47,+4744688826,1942-08-12,True
Hanne,Strand,Andersengrenda 7E,Hanssen,0490,Norge,NO,19610112-0020,+47,95276940,1961-01-12,True
Helena,Olsson,Fabriksgränd 532,Sundsvall,49018,Sverige,SE,19451111-9063,+46,082-135 31 68,1945-11-11,True
Michelle,Miller,Bryan Course 2328,Mendozafort,76175,Sverige,DK,19540318-6912,+45,697-722-4330,1954-03-18,True
Peter,Persson,Furustigen 1,Lund,81648,Sverige,SE,19480903-2108,+46,08-12 82 56,1948-09-03,True
Björn,Månsson,Stortorget 535,Lidingö,40645,Sverige,SE,19810402-6331,+46,+46 (0)18 64 15 97,1981-04-02,True
Crystal,Ward,Cynthia Walk 06646,Leblancbury,91257,Danmark,DK,19580521-8866,+45,(654)650-0278x608,1958-05-21,True
Maria,Nielsen,Bakkenstranda 2C,Anitaberg,9034,Norge,NO,19460608-7752,+47,62956561,1946-06-08,True
Vilhelmina,Eliasson,Ringgatan 2,Sandviken,19732,Sverige,SE,19520316-3637,+46,+46 (0)69 77 06 32,1952-03-16,True
Kyle,Garcia,White Knoll 0699,Laurenfurt,49198,Danmark,DK,19901007-5839,+45,001-946-978-4009,1990-10-07,True
Kjell,Gustafsson,Björkvägen 36,Stockholm,14742,Sverige,SE,19720520-5921,46,08-106 53 89,1972-05-20,True
Claes,Andersson,Furuvägen 1,Sandviken,92529,Sverige,SE,19871002-5662,+46,08-36 60 60,1987-10-02,True
Jonas,Engen,Jensenmoen 55,Jørgensen,2471,Norge,NO,19420519-9112,+47,90348478,1942-05-19,True
Ingemar,Sjögren,Aspvägen 26,Trollhättan,39979,Sverige,SE,19951024-8597,+46,+46 (0)074 823 59,1995-10-24,True
Erik,Pålsson,Idrottsstigen 4,Lund,93321,Sverige,SE,19700911-2590,+46,08-179 132 05,1970-09-11,True
Jessica,Gustafsson,Järnvägsstigen 69,Malmö,59058,Sverige,SE,19661126-9559,+46,0169-22 46 57,1966-11-26,True
Nils,Jansson,Strandtorget 871,Karlskrona,69625,Sverige,SE,19820513-1601,+46,0568-91 20 60,1982-05-13,True
Michael,Bates,David Club 7827,West Ginabury,28112,Danmark,DK,19490425-7588,+45,001-949-874-2297,1949-04-25,True
Anne,Pekkala,Fagottitie 3,Sulkava,24138,Finland,FI,19410127-894E,+358,0989769659,1941-01-27,True
April,Hughes,Rocha Parkway 53905,Wardhaven,49681,Danmark,DK,19641211-5156,+45,(421)612-6390,1964-12-11,True
Göran,Svensson,Kvarngränd 38,Skellefteå,69841,Sverige,SE,19401110-0682,+46,032-284 97 73,1940-11-10,True
Melissa,Alvarado,Henson Village 793,North Barbara,19894,Danmark,DK,19481019-6582,+45,299.768.1382x60916,1948-10-19,True
Anna,Nilsson,Industrivägen 2,Halmstad,46176,Sverige,SE,19430206-4888,+46,+46 (0)822 782 76,1943-02-06,True
Erik,Larsson,Nygränd 536,Motala,89134,Sverige,SE,19440506-0941,+46,08-277 92 53,1944-05-06,True
Patrik,Ottosson,Trädgårdsgatan 0,Jönköping,79517,Sverige,SE,19760724-9061,+46,08-150 162 51,1976-07-24,True
Torbjørn,Mathisen,Næssbakken 13,Kristensen,7462,Norge,NO,19931117-1453,+47,+4742359573,1993-11-17,True
Rut,Karlsson,Kyrkgränd 241,Piteå,19671,Sverige,SE,19751028-4407,+46,+46 (0)69 00 82 22,1975-10-28,True
Julia,Howell,John Stream 301,Connieland,87944,Danmark,DK,19411205-3494,+45,300.575.4274x950,1941-12-05,True
Harald,Abrahamsen,Gundersenskogen 5,Rasmussen,1242,Norge,NO,19701119-5085,+47,35674325,1970-11-19,True
Ove,Josefsson,Björkvägen 6,Umeå,33717,Sverige,SE,19431128-0425,+46,08-058 72 68,1943-11-28,True
Nicole,Edwards,Wang Fork 78680,Port Loribury,62103,Danmark,DK,19850912-8463,+45,001-220-880-9475x59855,1985-09-12,True
Merja,Uusitalo,Gunnel Nymanin tie 167,Kuhmo,94527,Finland,FI,19590411-8973,+358,+358213508311,1959-04-11,True
Elin,Aas,Kristiansenstien 3,Asbjørnborg,2539,Norge,NO,19760820-7332,+47,956 75 427,1976-08-20,True
Ingela,Holm,Furugränd 962,Helsingborg,12642,Sverige,SE,19820815-5983,+46,0009-76 88 09,1982-08-15,True
Åse,Rasmussen,Berntsenberget 55,Bentestrand,2351,Norge,NO,19820127-3499,+47,79200728,1982-01-27,True
Johanna,Söderberg,Åkergränd 87,Karlskrona,50071,Sverige,SE,19931026-9494,+46,0881-24 15 83,1993-10-26,True
Juhani,Petersson,Gentorget 018,Karlskoga,30604,Sverige,SE,19420608-1863,+46,08-10 70 81,1942-06-08,True
Katarina,Karlsson,Backgränd 99,Lidköping,71995,Sverige,SE,19590204-3565,+46,08-632 016 12,1959-02-04,True
Bo,Bengtsson,Idrottsvägen 2,Östersund,76953,Sverige,SE,19931223-2498,+46,+46 (0)552 001 48,1993-12-23,True
Elsa,Hedlund,Trädgårdsgatan 77,Örnsköldsvik,55296,Sverige,SE,19680218-2629,+46,0717-81 83 05,1968-02-18,True
Steinar,Svendsen,Tveitskogen 1,Myklebust,9671,Norge,NO,19671130-5543,+47,33639138,1967-11-30,True
Jan,Nilsson,Järnvägsgatan 174,Göteborg,53723,Sverige,SE,19581109-9794,+46,+46 (0)047 786 30,1958-11-09,True
Antonio,Logan,Vanessa Throughway 412,West Julie,99495,Danmark,DK,19990705-3772,+45,409-418-8845x0963,1999-07-05,True
Siv,Ahmed,Aasmarka 2A,Kjetilby,0555,Norge,NO,19461027-0833,47,86001172,1946-10-27,True
Kristin,Iversen,Hauglandkroken 55A,Olsen,8512,Norge,NO,19880620-3991,+47,+47 21 81 31 10,1988-06-20,True
Åke,Skoglund,Ringvägen 16,Motala,20892,Sverige,SE,19730329-7276,+46,08-557 11 58,1973-03-29,True
Helena,Malm,Skolgränd 777,Helsingborg,67273,Sverige,SE,19820128-8950,+46,0880-77 73 43,1982-01-28,True
Brent,Mann,Martinez Hills 3304,South Steven,12808,Danmark,DK,19640527-1411,+45,777-863-2740,1964-05-27,True
Niklas,Blom,Ringvägen 585,Eskilstuna,94516,Sverige,SE,19911114-2367,+46,08-385 995 01,1991-11-14,True
Bradley,Myers,Proctor Mountains 9095,East Jamesland,08473,Danmark,DK,19640413-9888,+45,001-553-543-3251x3862,1964-04-13,True
Maj-Britt,Andersson,Ekvägen 6,Halmstad,11960,Sverige,SE,19450903-7010,+46,08-359 891 76,1945-09-03,True
Jessica,Eriksson,Fabriksvägen 03,Kristianstad,97322,Sverige,SE,19881221-4889,+46,08-81 32 25,1988-12-21,True
Carl,Augustsson,Aspgränd 2,Borlänge,25565,Sverige,SE,19801230-9950,+46,+46 (0)8 300 086 46,1980-12-30,True
Monica,Ellis,Davis Drives 11785,Kelleyberg,93408,Danmark,DK,19480428-3122,+45,+1-363-325-5243x4812,1948-04-28,True
Anders,Håkansson,Furuvägen 25,Jönköping,39396,Sverige,SE,19570612-1257,+46,+46 (0)26 20 58 45,1957-06-12,True
Jonathan,Morris,Brian Shore 0155,New Adrienne,85881,Danmark,DK,19700509-8715,+45,244-261-7884,1970-05-09,True
Maria,Eriksson,Backgatan 528,Sundsvall,10321,Sverige,SE,19720925-3431,+46,+46 (0)54 13 79 06,1972-09-25,True
Lars,Eriksson,Industrivägen 479,Varberg,12399,Sverige,SE,19670810-4602,+46,0108-92 54 24,1967-08-10,True
Lindsay,Jacobs,Jessica Isle 51921,New John,65492,Danmark,DK,19790722-8778,+45,724.820.6254,1979-07-22,False
Eva,Östlund,Genstigen 34,Eskilstuna,97449,Sverige,SE,19750710-5017,+46,08-827 47 46,1975-07-10,True
Magnus,Andersson,Furugatan 543,Örebro,93670,Sverige,SE,19490827-6229,+46,08-131 192 66,1949-08-27,True
Malin,Klasson,Bäckvägen 23,Linköping,89639,Sverige,SE,19511206-2614,+46,08-976 940 30,1951-12-06,True
Kristina,Söderström,Storgränd 839,Borås,93079,Sverige,SE,19950709-4701,+46,0237-180 44,1995-07-09,True
Finn,Paulsen,Myhrelunden 9,Hagen,5756,Norge,NO,19971101-6494,+47,493 46 251,1997-11-01,True
Per,Ekström,Backvägen 3,Sundsvall,14293,Sverige,SE,19410918-3179,+46,08-985 75 17,1941-09-18,True
Inger,Paulsson,Åkergatan 453,Nyköping,53572,Sverige,SE,19781023-6549,+46,+46 (0)8 423 073 69,1978-10-23,True
Mona,Törnqvist,Åkervägen 591,Motala,10266,Sverige,SE,19980531-1441,+46,065-198 58 28,1998-05-31,True
Daniel,Madsen,Jacobsengrenda 9,Pettersen,7172,Norge,NO,19580913-5949,+47,993 97 360,1958-09-13,True
Gertrud,Johansson,Grangatan 8,Trelleborg,60614,Sverige,SE,19660104-9722,+46,+46 (0)725 718 46,1966-01-04,True
Ragnhild,Andersen,Johansengrenda 4,Sandvik,2986,Norge,NO,19960118-3193,+47,905 77 270,1996-01-18,True
Ulla,Sundström,Strandvägen 824,Sundsvall,92567,Sverige,SE,19700305-9149,+46,0948-574 62,1970-03-05,True
Juha,Oinonen,Castréninkuja 375,Harjavalta,31080,Finland,FI,19930616-559U,+358,+358 908551790,1993-06-16,True
Breanna,Patel,Brown Ranch 7582,North Denisemouth,56994,Danmark,DK,19940410-2214,+45,001-403-504-4530x833,1994-04-10,True
Helge,Olsson,Trädgårdstorget 9,Uddevalla,94087,Sverige,SE,19430422-0353,+46,08-17 46 28,1943-04-22,True
Tove,Hauge,Aunehøgda 1,Cecilievåg,1636,Norge,NO,19510116-0039,+47,92203749,1951-01-16,True
Hege,Aas,Sandvikstien 8B,Berge,7109,Norge,NO,19530820-0702,+47,439 77 986,1953-08-20,True
Jessica,Goodwin,Moss Road 509,South Nancybury,60636,Danmark,DK,19671208-0735,+45,280.735.6710,1967-12-08,True
Michael,Robertson,Jacob Ville 291,Gregorymouth,40374,Danmark,DK,19780104-3565,+45,526.863.5837,1978-01-04,True
Leif,Birkeland,Aasenåsen 4,Jensen,2581,Norge,NO,19610828-1462,+47,+47 31 00 73 07,1961-08-28,True
Tracy,Jacobs,Crawford Freeway 149,Gallagherberg,03204,Danmark,DK,19630204-5345,+45,001-939-541-9944x0642,1963-02-04,True
Mattias,Åström,Nygränd 082,Jönköping,86426,Sverige,SE,19550303-3948,+46,041-977 34 07,1955-03-03,True
Jonas,Myhre,Hauglandekra 8E,Sverreøy,9220,Norge,NO,19701226-5590,+47,47106177,1970-12-26,True
Sindre,Rasmussen,Vikalléen 1,Mikkelsen,0688,Norge,NO,20001001-8690,+47,950 33 995,2000-10-01,True
Ulrika,Lindström,Skolgatan 002,Norrköping,84403,Sverige,SE,19510513-7403,+46,08-349 42 53,1951-05-13,True
Simen,Knudsen,Hansenmyra 738,Ritavær,7468,Norge,NO,19680719-8259,+47,78 32 47 56,1968-07-19,True
Monica,Erlandsson,Skolvägen 8,Borlänge,62542,Sverige,SE,19550205-2392,+46,034-113 81 21,1955-02-05,True
Birgitta,Petersson,Ängsvägen 42,Landskrona,75862,Sverige,SE,19830519-7405,+46,08-147 214 45,1983-05-19,True
Lindsey,Moran,Michael Ramp 248,Melissaside,03422,Danmark,DK,19421031-0722,+45,773-770-3270x205,1942-10-31,True
Satu,Lehtola,Jättiläisenkatu 33,Kirkkonummi,71079,Finland,FI,19760210-338A,+358,0893176012,1976-02-10,True
Karl,Ågren,Aspvägen 37,Södertälje,67107,Sverige,SE,19781003-9111,+46,08-68 79 43,1978-10-03,True
Helén,Dahl,Fabriksvägen 130,Varberg,27322,Sverige,SE,19630423-6002,+46,+46 (0)172 009 54,1963-04-23,True
Johannes,Lehto,Versotie 65,Tyrnävä,57386,Finland,FI,19511031-548E,+358,+358 68 9250748,1951-10-31,True
Ronald,Bender,Bradley Loop 876,Port Benjamin,12422,Danmark,DK,19420815-5030,+45,656.377.5038,1942-08-15,True
Peter,Larsson,Ekvägen 31,Jönköping,48356,Sverige,SE,19870324-4554,+46,093-543 97 65,1987-03-24,True
Jenny,Bergman,Åkervägen 0,Uddevalla,89756,Sverige,SE,19541112-2608,+46,069-823 74 94,1954-11-12,True
Roland,Nilsson,Aspgränd 83,Skövde,61853,Sverige,SE,19850826-9643,+46,08-904 800 59,1985-08-26,True
Solveig,Persson,Ängsgränd 0,Piteå,31630,Sverige,SE,19670511-0421,+46,08-839 805 58,1967-05-11,True
Erik,Johansson,Ekgatan 236,Malmö,62100,Sverige,SE,19880801-5374,+46,090-990 62 67,1988-08-01,True
Eva,Olsson,Ängstorget 329,Sandviken,45755,Sverige,SE,19750128-2776,+46,08-50 05 82,1975-01-28,True
Gustaf,Eriksson,Backgatan 78,Linköping,43025,Sverige,SE,19870405-8594,+46,+46 (0)8 838 555 09,1987-04-05,True
Kjersti,Hanssen,Rasmussengrenda 06,Linnvær,6072,Norge,NO,19630603-8477,+47,90422007,1963-06-03,True
Ritva,Toivonen,Haapakatu 762,Punkalaidun,85521,Finland,FI,19800324-5815,+46,+358629942580,1980-03-24,True
Nicklas,Davidsson,Aspgatan 97,Sandviken,47599,Danmark,SE,19590209-6348,+46,0712-10 65 36,1959-02-09,True
Erik,Andersson,Kyrkvägen 56,Luleå,75348,Sverige,SE,19690202-3304,+46,08-020 44 18,1969-02-02,True
Siv,Johansson,Aspgränd 21,Östersund,40073,Sverige,SE,19590422-2425,+46,+46 (0)123 554 09,1959-04-22,True
Bjørn,Ali,Berntsenrøa 60,Henriksen,7126,Norge,NO,19880912-6864,+47,97 33 59 02,1988-09-12,True
Andrea,Kristiansen,Thorsenstien 46,Sæther,0871,Norge,NO,19500922-6813,+47,+47 92 29 60 68,1950-09-22,True
Håkon,Knutsen,Jørgensenhøgda 93C,Nguyen,8435,Norge,NO,19840531-9530,+47,975 17 598,1984-05-31,True
Bengt,Fredriksson,Nyvägen 2,Motala,81661,Sverige,SE,19690621-9052,+46,082-27 70 36,1969-06-21,True
Kjell,Simonsen,Haugenflata 8,Haugland,7217,Norge,NO,19780810-7551,+46,09957739,1978-08-10,True
Anne,Solberg,Paulsenvika 6,Berge,5864,Norge,NO,19870113-6298,+47,93958244,1987-01-13,True
Erik,Josefsson,Bäckvägen 22,Halmstad,81188,Sverige,SE,19670219-9910,+46,+46 (0)95 52 00 65,1967-02-19,True
Håvard,Paulsen,Jørgensenrøa 26B,Christianø,8797,Norge,NO,19641112-9867,+47,+4713281859,1964-11-12,True
Asbjørn,Jacobsen,Thorsentjernet 24,Elisabethgrunn,3430,Norge,NO,19531123-6505,+47,935 28 653,1953-11-23,True
Christopher,Wang,Matthew Walks 750,South Anthony,77896,Danmark,DK,19790420-3084,+45,+1-442-782-0909x00189,1979-04-20,True
Silje,Knutsen,Aliholtet 36,Kristensen,0744,Norge,NO,19400731-6733,+47,+47 23 25 42 96,1940-07-31,True
Helen,Johansson,Skolstigen 05,Borås,95197,Sverige,SE,19990116-9932,+46,08-855 20 60,1999-01-16,True
Christina,Ivarsson,Åkergränd 535,Piteå,36181,Sverige,SE,19710210-7782,+46,+46 (0)718 054 88,1971-02-10,True
Sten,Berg,Ekgatan 614,Piteå,36635,Sverige,SE,19910430-7244,+46,0727-432 71,1991-04-30,True
Elisabeth,Lindblom,Åkerstigen 828,Landskrona,69726,Sverige,SE,19470823-4416,+46,08-48 12 03,1947-08-23,True
Ingegerd,Gustafsson,Järnvägstorget 71,Göteborg,93328,Sverige,SE,19591026-3617,+46,08-63 84 91,1959-10-26,True
Oskar,Erlandsson,Storvägen 723,Gävle,14737,Sverige,SE,19920108-8201,+46,+46 (0)8 799 880 07,1992-01-08,True
Jørgen,Eliassen,Eidelunden 2,Håvardberg,0788,Norge,NO,19550322-0541,+47,54 90 13 41,1955-03-22,True
Jeffery,Garcia,Goodman Groves 021,Reginaland,30812,Danmark,DK,19870122-4424,+45,3377489078,1987-01-22,True
Sylvia,Gustafsson,Kyrkogatan 399,Södertälje,84517,Sverige,SE,19490328-8855,+46,08-357 668 09,1949-03-28,True
Jan,Halvorsen,Lundespranget 33,Stiansand,6181,Norge,NO,19490407-1617,+47,73183298,1949-04-07,True
Ingrid,Bergström,Aspgränd 63,Lidingö,22863,Sverige,SE,19621022-8437,+46,0226-339 67,1962-10-22,True
Patrik,Björk,Fabriksgatan 17,Stockholm,12137,Sverige,SE,19490416-3075,+46,+46 (0)8 821 332 52,1949-04-16,True
